Product ID,Active (0/1),Name *,"Categories (x,y,z...)",Price tax excluded,Tax rules ID,Price tax included,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,MPN,Ecotax,Width,Height,Depth,Weight,Delivery time of in-stock products,Delivery time of out-of-stock products with allowed orders,Quantity,Minimal quantity,Low stock level,Receive a low stock alert by email,Visibility,Additional shipping cost,Unity,Unit price,Summary,Description,"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,"Available for order (0 = No, 1 = Yes)",Product available date,Product creation date,"Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)",Feature(Name:Value:Position),"Available online only (0 = No, 1 = Yes)",Condition,"Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)",Out of stock action,Virtual product,File URL,Number of allowed downloads,Expiration date,Number of days,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,"Acessories  (x,y,z...)"
175,1,Octopus in Olive Oil 190 gr jar,Fish & Seafood,59,,59,0,,,,,,,,Agromar,,,,,,,,190,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
176,1,Mussels in picked sauce with cider vinegar 114g (12-14 units),Fish & Seafood,22,,22,0,,,,,,,,Agromar,,,,,,,,114,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1,100% Bellota Iberico Pork Backham Hand Sliced Portions 80g   959,Iberico Products,85,,85,0,,,,,,,,959,,,,,,,,80,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
179,1,Iberico Pork Chorizo Lomo Hand Sliced portions 80 g 959,Iberico Products,32,,32,0,,,,,,,,959,,,,,,,,80,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
180,1,Bellota 100% Iberico Pork Chorizo Lomo Cured 1/2,Iberico Products,99,,99,0,,,,,,,,959,,,,,,,,500,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
181,1,Bellota 100% Iberico Pork Chorizo Lomo Cured 1/2 by kg hand cutted,Iberico Products,150,,150,0,,,,,,,,959,,,,,,,,500,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1,Iberico Pork 50% Cebo Campo Shoulderham Sliced Portions 80 g Capa Negra,Iberico Products,29,,29,0,,,,,,,,Capa Negra,,,,,,,,80,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
184,1,Iberico Pork Chorizo Sliced Portions 80 g Capa Negra,Iberico Products,19,,19,0,,,,,,,,Capa Negra,,,,,,,,80,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
185,1,Iberico Pork Salchichon Sliced Portions 80 g Capa Negra,Iberico Products,19,,19,0,,,,,,,,Capa Negra,,,,,,,,80,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
